,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-09 16:50:59.000,2022-06-09 16:50:59,132.0,16.0,117.0,47.0,88.0,2.0,1560.0,2022-06-09 16:51:05,2022.06.09,42.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-06-12 16:42:35.000,2022-06-12 16:42:35,88.0,88.0,,1.0,25.0,,24.0,2022-06-09 18:15:33,2022.06.09,12.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-06-15 19:03:06.000,2022-06-14 11:24:35,14524.0,138.0,2007.0,195.0,4633.0,4209.0,8864.0,2022-04-23 14:36:35,7.1.2,100.0,796.0,47,True,pytest,conda-forge/pytest,['pytest'],725.0,516016.0,516016.0,https://pypi.org/project/pytest,43665983.0,43857916.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,13627298.0,1.0,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-06-16 14:00:07.000,2022-06-15 09:04:14,12568.0,513.0,820.0,83.0,1172.0,1583.0,1696.0,2022-06-13 12:39:25,62.4.0,157.0,507.0,45,True,setuptools,conda-forge/setuptools,,488.0,173011.0,173011.0,https://pypi.org/project/setuptools,208283310.0,208896586.0,https://anaconda.org/conda-forge/setuptools,2022-06-11 15:42:12.921,43542536.0,1.0,128.0,1.0,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-06-14 16:08:36.000,2022-06-14 16:08:36,1349.0,60.0,1687.0,219.0,1128.0,1640.0,28020.0,2022-03-28 19:09:55,22.3.0,23.0,323.0,44,True,black,conda-forge/black,,322.0,157015.0,157015.0,https://pypi.org/project/black,15913204.0,15998052.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,4129034.0,1.0,22736.0,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-06-15 21:23:21.000,2022-06-12 16:17:25,12995.0,195.0,2475.0,298.0,4870.0,5401.0,8044.0,,,53.0,675.0,44,True,pip,conda-forge/pip,,881.0,85491.0,85491.0,https://pypi.org/project/pip,132266834.0,132849478.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,41367748.0,1.0,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-06-16 14:34:09.000,2022-06-15 14:21:58,3227.0,254.0,1226.0,529.0,734.0,784.0,38007.0,2022-05-24 06:41:38,12.4.4,100.0,169.0,43,True,rich,conda-forge/rich,,48.0,19545.0,19545.0,https://pypi.org/project/rich,9395315.0,9441275.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,1057089.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-06-16 00:48:17.000,2022-06-16 00:48:17,7446.0,107.0,1673.0,366.0,1427.0,3245.0,23037.0,2022-06-07 14:18:20,2022.6.7,30.0,420.0,43,True,pipenv,conda-forge/pipenv,,424.0,27799.0,27799.0,https://pypi.org/project/pipenv,5173310.0,5174940.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,52160.0,1.0,,,,,,,,,,,,,,,,
