,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-21 17:00:41.000,2022-07-21 17:00:41,145.0,23.0,120.0,47.0,94.0,2.0,1598.0,2022-07-21 17:00:46,2022.07.21,48.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-07-22 08:07:39.000,2022-07-22 08:07:39,100.0,45.0,,2.0,31.0,,29.0,2022-07-22 08:07:55,2022.07.21,18.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-07-28 01:19:08.000,2022-07-25 23:15:38,14596.0,142.0,2048.0,194.0,4695.0,4249.0,9041.0,2022-04-23 14:36:35,7.1.2,100.0,806.0,47,True,pytest,conda-forge/pytest,['pytest'],725.0,541024.0,541024.0,https://pypi.org/project/pytest,42232514.0,42432790.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14419907.0,1.0,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-07-28 14:04:43.000,2022-07-27 17:27:20,13170.0,250.0,2504.0,300.0,4926.0,5461.0,8131.0,,,55.0,683.0,45,True,pip,conda-forge/pip,,894.0,90507.0,90507.0,https://pypi.org/project/pip,105971666.0,106604646.0,https://anaconda.org/conda-forge/pip,2022-07-27 21:38:25.594,45574584.0,1.0,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-07-27 09:15:02.000,2022-07-27 09:07:25,12680.0,369.0,840.0,85.0,1214.0,1603.0,1738.0,2022-07-14 00:37:58,63.2.0,161.0,515.0,45,True,setuptools,conda-forge/setuptools,,499.0,182862.0,182862.0,https://pypi.org/project/setuptools,202450903.0,203120759.0,https://anaconda.org/conda-forge/setuptools,2022-07-14 14:55:28.423,48229670.0,1.0,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-07-28 10:49:56.000,2022-07-28 02:04:14,1375.0,48.0,1726.0,221.0,1162.0,1670.0,28641.0,2022-06-28 00:39:09,22.6.0,24.0,329.0,44,True,black,conda-forge/black,,331.0,169568.0,169568.0,https://pypi.org/project/black,14657722.0,14747748.0,https://anaconda.org/conda-forge/black,2022-06-28 13:49:25.625,4472041.0,1.0,23452.0,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-07-28 12:55:45.000,2022-07-26 14:27:49,3343.0,218.0,1269.0,528.0,768.0,806.0,38697.0,2022-07-11 14:37:31,12.5.1,100.0,183.0,43,True,rich,conda-forge/rich,,57.0,24057.0,24057.0,https://pypi.org/project/rich,11824818.0,11878968.0,https://anaconda.org/conda-forge/rich,2022-07-11 20:48:09.934,1299610.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-07-28 09:58:11.000,2022-07-28 09:58:10,7533.0,118.0,1680.0,364.0,1461.0,3290.0,23154.0,2022-07-24 11:10:17,2022.7.24,32.0,421.0,43,True,pipenv,conda-forge/pipenv,,407.0,29759.0,29759.0,https://pypi.org/project/pipenv,5235670.0,5237447.0,https://anaconda.org/conda-forge/pipenv,2022-07-25 01:25:46.603,58651.0,1.0,,,,,,,,,,,,,,,,
