,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
107,pyupgrade,asottile/pyupgrade,refactoring,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,,https://github.com/asottile/pyupgrade,https://github.com/asottile/pyupgrade,MIT,2017-02-28 17:50:31.000,2022-06-07 02:52:16.421,2022-06-06 23:47:24,877.0,45.0,108.0,30.0,365.0,275.0,1777.0,,,93.0,26.0,26,True,pyupgrade,conda-forge/pyupgrade,,11.0,,,https://pypi.org/project/pyupgrade,472485.0,481257.0,https://anaconda.org/conda-forge/pyupgrade,2022-06-07 02:52:16.421,359676.0,2.0,,,,,,,,,,,,,,,,
108,pybuilder,pybuilder/pybuilder,build-tools,Software build automation tool for Python.,,https://github.com/pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2022-05-30 14:22:28.000,2022-05-30 14:22:28,1397.0,9.0,226.0,93.0,362.0,414.0,1404.0,2022-05-29 15:21:19,0.13.6,7.0,36.0,26,True,pybuilder,conda-forge/pybuilder,,81.0,,,https://pypi.org/project/pybuilder,17757.0,18080.0,https://anaconda.org/conda-forge/pybuilder,2022-05-29 11:42:08.336,12949.0,3.0,,,,,,,,,,,,,,,,
109,stackprinter,cknd/stackprinter,logging,Debugging-friendly exceptions for Python.,,https://github.com/cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2022-05-23 20:13:27.000,2022-05-23 20:00:28,185.0,26.0,33.0,8.0,29.0,20.0,1178.0,2022-04-02 13:25:49,0.2.6,3.0,6.0,26,True,stackprinter,conda-forge/stackprinter,,4.0,110.0,110.0,https://pypi.org/project/stackprinter,494537.0,494626.0,https://anaconda.org/conda-forge/stackprinter,2020-10-31 17:18:37.537,3235.0,3.0,,,,,,,,,,,,,,,,
110,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2022-05-30 19:35:39.000,2022-05-30 19:34:43,703.0,3.0,48.0,18.0,308.0,119.0,918.0,2021-07-09 22:21:56,0.10.3,13.0,41.0,26,True,pdbpp,conda-forge/pdbpp,,66.0,2883.0,2883.0,https://pypi.org/project/pdbpp,230367.0,231635.0,https://anaconda.org/conda-forge/pdbpp,2021-07-11 15:21:48.419,73595.0,2.0,,,,,,,,,,,,,,,,
111,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2022-05-31 11:05:59.000,2022-05-31 11:05:58,995.0,16.0,158.0,46.0,306.0,262.0,905.0,,,42.0,81.0,26,True,pytest-xdist,conda-forge/pytest-xdist,['pytest'],210.0,,,https://pypi.org/project/pytest-xdist,5987581.0,6027303.0,https://anaconda.org/conda-forge/pytest-xdist,2021-12-10 14:46:36.827,2820287.0,2.0,,,,,,,,,,,,,,,,
112,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2022-05-21 11:34:41.000,2022-02-03 14:42:26,570.0,,124.0,8.0,111.0,195.0,841.0,2019-01-24 16:15:02,0.3.11,5.0,57.0,26,True,pdoc3,anaconda/pdoc3,,94.0,1618.0,1618.0,https://pypi.org/project/pdoc3,279238.0,279262.0,https://anaconda.org/anaconda/pdoc3,2020-11-30 22:53:50.187,749.0,2.0,,,,,,,,,,,,,,,,
113,autoflake,myint/autoflake,refactoring,Removes unused imports and unused variables as reported by pyflakes.,,https://github.com/PyCQA/autoflake,https://github.com/PyCQA/autoflake,MIT,2012-12-27 03:40:17.000,2022-04-10 11:48:45.000,2020-12-27 17:36:40,439.0,,53.0,10.0,37.0,34.0,534.0,,,3.0,17.0,26,False,autoflake,conda-forge/autoflake,,38.0,4802.0,4802.0,https://pypi.org/project/autoflake,1045016.0,1053415.0,https://anaconda.org/conda-forge/autoflake,2021-05-26 15:10:21.374,319181.0,2.0,,,,,,,,,,,,,,,PyCQA/autoflake,
114,gast,serge-sans-paille/gast,ast,Python AST that abstracts the underlying Python version.,,https://github.com/serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2022-02-24 14:18:07.000,2022-02-24 14:18:07,93.0,,25.0,11.0,41.0,28.0,122.0,,,11.0,10.0,26,True,gast,conda-forge/gast,,,87248.0,87248.0,https://pypi.org/project/gast,14815559.0,14847047.0,https://anaconda.org/conda-forge/gast,2021-11-15 08:20:52.503,1542921.0,1.0,,,,,,,,,,,,,,,,
115,freezegun,spulec/freezegun,testing,Let your Python tests travel through time.,,https://github.com/spulec/freezegun,https://github.com/spulec/freezegun,Apache-2.0,2012-12-11 05:11:00.000,2022-03-18 11:36:36.297,2022-03-18 09:05:17,550.0,5.0,216.0,32.0,197.0,170.0,3299.0,,,14.0,100.0,25,True,freezegun,conda-forge/freezegun,,83.0,,,https://pypi.org/project/freezegun,5319473.0,5324506.0,https://anaconda.org/conda-forge/freezegun,2022-03-18 11:36:36.297,377510.0,3.0,,-9.0,,,,,,,,,,,,,,
116,uiautomator,xiaocong/uiautomator,testing,Python wrapper of Android uiautomator test tool.,,https://github.com/xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2021-12-01 06:29:43.000,2020-11-16 01:36:32,316.0,,600.0,155.0,33.0,119.0,1811.0,2017-02-20 12:00:41,0.2.7,1.0,13.0,25,False,uiautomator,,,161.0,210.0,210.0,https://pypi.org/project/uiautomator,52843.0,52843.0,,,,3.0,,,,,,,,,,,,,,,,
