,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-14 16:40:48.000,2022-07-14 16:40:47,143.0,24.0,120.0,47.0,93.0,2.0,1590.0,2022-07-14 16:40:53,2022.07.14,47.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-07-14 21:23:15.000,2022-07-14 21:23:15,98.0,45.0,,2.0,30.0,,28.0,2022-07-14 21:23:22,2022.07.14,17.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-07-19 22:01:45.000,2022-07-16 02:08:21,14588.0,141.0,2041.0,194.0,4689.0,4247.0,9008.0,2022-04-23 14:36:35,7.1.2,100.0,806.0,47,True,pytest,conda-forge/pytest,['pytest'],724.0,536592.0,536592.0,https://pypi.org/project/pytest,41962655.0,42161188.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14294397.0,1.0,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-07-21 10:26:58.000,2022-07-21 10:02:42,13146.0,242.0,2494.0,298.0,4908.0,5450.0,8113.0,,,53.0,683.0,45,True,pip,conda-forge/pip,,885.0,89313.0,89313.0,https://pypi.org/project/pip,105507609.0,106128974.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,44738286.0,1.0,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-07-19 18:01:29.000,2022-07-19 10:46:53,12678.0,375.0,837.0,85.0,1210.0,1600.0,1733.0,2022-07-14 00:37:58,63.2.0,161.0,514.0,45,True,setuptools,conda-forge/setuptools,,497.0,180976.0,180976.0,https://pypi.org/project/setuptools,211924082.0,212582902.0,https://anaconda.org/conda-forge/setuptools,2022-07-14 14:55:28.423,47435086.0,1.0,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-07-20 01:33:00.000,2022-07-20 01:33:00,1371.0,46.0,1718.0,220.0,1154.0,1669.0,28572.0,2022-06-28 00:39:09,22.6.0,24.0,329.0,44,True,black,conda-forge/black,,326.0,167455.0,167455.0,https://pypi.org/project/black,14514137.0,14603139.0,https://anaconda.org/conda-forge/black,2022-06-28 13:49:25.625,4420993.0,1.0,23350.0,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-07-21 11:35:30.000,2022-07-14 14:20:03,3322.0,226.0,1262.0,528.0,763.0,803.0,38596.0,2022-07-11 14:37:31,12.5.1,100.0,180.0,43,True,rich,conda-forge/rich,,55.0,23286.0,23286.0,https://pypi.org/project/rich,11099536.0,11151759.0,https://anaconda.org/conda-forge/rich,2022-07-11 20:48:09.934,1253366.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-07-19 18:15:17.000,2022-07-19 18:15:17,7502.0,101.0,1678.0,366.0,1448.0,3286.0,23133.0,2022-07-04 21:27:54,2022.7.4,31.0,421.0,43,True,pipenv,conda-forge/pipenv,,404.0,29036.0,29036.0,https://pypi.org/project/pipenv,5249399.0,5251156.0,https://anaconda.org/conda-forge/pipenv,2022-07-05 18:16:11.395,58001.0,1.0,,,,,,,,,,,,,,,,
