,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-19 18:30:43.000,2022-05-19 18:30:42,128.0,12.0,116.0,48.0,85.0,2.0,1538.0,2022-05-19 18:31:23,2022.05.19,40.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-05-26 10:58:47.000,2022-05-26 10:58:43,65.0,65.0,,1.0,18.0,,19.0,2022-05-19 18:14:34,2022.05.19,9.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-05-25 12:48:02.000,2022-05-25 12:48:02,14496.0,139.0,1991.0,194.0,4612.0,4191.0,8797.0,2022-04-23 14:36:35,7.1.2,100.0,789.0,47,True,pytest,conda-forge/pytest,['pytest'],727.0,505103.0,505103.0,https://pypi.org/project/pytest,43572427.0,43760632.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,13174402.0,1.0,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-05-24 17:39:56.000,2022-05-24 07:17:47,12386.0,576.0,818.0,83.0,1152.0,1574.0,1674.0,2022-05-18 18:31:04,62.3.2,155.0,503.0,45,True,setuptools,conda-forge/setuptools,,486.0,168637.0,168637.0,https://pypi.org/project/setuptools,181254254.0,181844165.0,https://anaconda.org/conda-forge/setuptools,2022-05-20 00:27:54.901,41293747.0,1.0,126.0,1.0,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-05-26 14:31:56.000,2022-05-21 20:18:06,1339.0,63.0,1661.0,218.0,1114.0,1624.0,27476.0,2022-03-28 19:09:55,22.3.0,23.0,320.0,44,True,black,conda-forge/black,,319.0,151224.0,151224.0,https://pypi.org/project/black,14973378.0,15056146.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,3944504.0,1.0,22467.0,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-05-25 08:33:17.000,2022-05-25 08:33:17,12966.0,200.0,2453.0,299.0,4851.0,5379.0,8006.0,,,52.0,675.0,44,True,pip,conda-forge/pip,,878.0,83062.0,83062.0,https://pypi.org/project/pip,103908234.0,104466300.0,https://anaconda.org/conda-forge/pip,2022-05-21 17:15:41.463,39064630.0,1.0,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-05-25 15:25:18.000,2022-05-24 06:39:59,3171.0,379.0,1210.0,527.0,714.0,762.0,37718.0,2022-05-24 06:41:38,12.4.4,100.0,166.0,43,True,rich,conda-forge/rich,,48.0,17755.0,17755.0,https://pypi.org/project/rich,7925666.0,7968535.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,943135.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-05-26 13:07:59.000,2022-05-17 07:58:29,7436.0,129.0,1671.0,366.0,1425.0,3228.0,22972.0,2022-05-03 03:43:00,2022.5.2,29.0,418.0,43,True,pipenv,conda-forge/pipenv,,422.0,27265.0,27265.0,https://pypi.org/project/pipenv,4742001.0,4743637.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,50739.0,1.0,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-05-25 13:34:15.000,2022-05-25 13:34:10,5780.0,21.0,1204.0,232.0,564.0,1331.0,8405.0,,,33.0,178.0,42,True,psutil,conda-forge/psutil,,203.0,166296.0,166296.0,https://pypi.org/project/psutil,54697463.0,54860398.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,11894289.0,1.0,,,,,,,,,,,,,,,,
11,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-05-22 12:02:38.000,2022-04-04 01:25:49,1924.0,30.0,1086.0,202.0,468.0,548.0,22064.0,2022-04-04 17:56:45,4.64.0,102.0,112.0,41,True,tqdm,conda-forge/tqdm,,281.0,287081.0,287081.0,https://pypi.org/project/tqdm,41074056.0,41238481.0,https://anaconda.org/conda-forge/tqdm,2022-04-04 05:55:15.707,11661771.0,1.0,8926.0,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-05-21 01:57:44.948601,2.0,4023.0,,,,,,,,,
12,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-05-23 07:47:45.000,2022-05-17 22:22:08,1647.0,21.0,1937.0,227.0,1015.0,1558.0,14255.0,2022-03-26 19:55:09,1.3.0,23.0,217.0,41,True,mkdocs,conda-forge/mkdocs,['mkdocs'],118.0,21570.0,21570.0,https://pypi.org/project/mkdocs,910739.0,913149.0,https://anaconda.org/conda-forge/mkdocs,2022-03-31 16:37:37.228,175932.0,1.0,,,,,,,,,,,,,,,,
13,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-05-26 07:13:17.000,2022-05-26 07:11:50,4281.0,214.0,2174.0,94.0,1878.0,1390.0,9789.0,2022-05-14 13:53:05,8.2.15,108.0,155.0,41,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],8.0,13701.0,13701.0,https://pypi.org/project/mkdocs-material,941622.0,944247.0,https://anaconda.org/conda-forge/mkdocs-material,2022-05-14 23:34:27.888,94527.0,1.0,,,,,,,,,,,,,,,,
14,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2022-05-26 00:25:35.000,2022-05-22 17:07:24,19247.0,355.0,1589.0,137.0,4485.0,5056.0,4625.0,2022-05-08 15:56:31,5.0.0b1,79.0,734.0,41,False,sphinx,conda-forge/sphinx,['sphinx'],908.0,201982.0,201982.0,https://pypi.org/project/sphinx,6035596.0,6111834.0,https://anaconda.org/conda-forge/sphinx,2022-03-27 18:17:56.417,5260479.0,1.0,,,,,,,,,,,,,,,,
15,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2022-05-26 13:43:41.000,2022-05-26 13:43:40,10278.0,189.0,2106.0,219.0,5132.0,5637.0,13152.0,,,38.0,568.0,40,False,mypy,conda-forge/mypy,,2034.0,74938.0,74938.0,https://pypi.org/project/mypy,14525282.0,14559142.0,https://anaconda.org/conda-forge/mypy,2022-05-25 16:00:33.427,1828461.0,1.0,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-05-26 13:43:30.000,2022-05-26 13:43:30,2230.0,72.0,537.0,77.0,906.0,1450.0,8172.0,2022-05-05 13:57:04,2.19.0,84.0,138.0,40,True,pre-commit,conda-forge/pre-commit,,15.0,49920.0,49920.0,https://pypi.org/project/pre-commit,5354541.0,5395516.0,https://anaconda.org/conda-forge/pre-commit,2022-05-05 15:59:45.040,1314887.0,1.0,63322.0,,,,,,,,,,,,,,,
17,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,,2014-06-27 11:10:38.000,2022-05-25 18:28:07.000,2022-05-23 12:27:57,13491.0,140.0,1935.0,471.0,556.0,3609.0,6988.0,2022-05-16 07:55:33,5.0.1,58.0,161.0,39,False,robotframework,conda-forge/robotframework,,182.0,5387.0,5387.0,https://pypi.org/project/robotframework,1150969.0,1152481.0,https://anaconda.org/conda-forge/robotframework,2022-05-17 12:50:09.371,78394.0,1.0,539.0,,,,,,,,,,,,,,,
18,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-05-20 06:58:04.000,2022-05-20 06:58:02,3909.0,26.0,451.0,39.0,845.0,1013.0,4873.0,2021-11-09 05:43:22,5.10.1,98.0,261.0,38,True,isort,conda-forge/isort,,77.0,244295.0,244295.0,https://pypi.org/project/isort,22722303.0,22766905.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,3122186.0,2.0,,,,,,,,,,,,,,,,
