,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-19 19:29:00.000,2022-06-19 19:29:00,135.0,19.0,117.0,46.0,89.0,2.0,1564.0,2022-06-16 17:42:17,2022.06.16,43.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-06-16 18:28:00.000,2022-06-16 18:28:00,90.0,90.0,,1.0,26.0,,24.0,2022-06-16 18:28:07,2022.06.16,13.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-06-23 09:01:15.000,2022-06-22 15:38:36,14527.0,124.0,2016.0,195.0,4642.0,4213.0,8896.0,2022-04-23 14:36:35,7.1.2,100.0,796.0,47,True,pytest,conda-forge/pytest,['pytest'],730.0,520936.0,520936.0,https://pypi.org/project/pytest,43008610.0,43202496.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,13765920.0,1.0,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-06-23 08:30:07.000,2022-06-23 08:30:07,12622.0,475.0,823.0,83.0,1185.0,1589.0,1709.0,2022-06-19 20:52:48,62.6.0,159.0,511.0,45,True,setuptools,conda-forge/setuptools,,487.0,174834.0,174834.0,https://pypi.org/project/setuptools,214881876.0,215506304.0,https://anaconda.org/conda-forge/setuptools,2022-06-20 09:38:38.153,44334342.0,1.0,128.0,1.0,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-06-23 11:00:54.000,2022-06-20 14:22:24,1351.0,56.0,1696.0,222.0,1131.0,1645.0,28300.0,2022-03-28 19:09:55,22.3.0,23.0,324.0,44,True,black,conda-forge/black,,325.0,159338.0,159338.0,https://pypi.org/project/black,15499631.0,15585633.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,4185408.0,1.0,22878.0,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-06-23 11:22:26.000,2022-06-23 11:22:26,13009.0,204.0,2477.0,296.0,4875.0,5405.0,8054.0,,,53.0,677.0,44,True,pip,conda-forge/pip,,884.0,86258.0,86258.0,https://pypi.org/project/pip,133949006.0,134541387.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,42059058.0,1.0,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-06-22 10:45:05.000,2022-06-21 09:55:51,3261.0,261.0,1232.0,529.0,740.0,788.0,38133.0,2022-05-24 06:41:38,12.4.4,100.0,171.0,43,True,rich,conda-forge/rich,,48.0,20364.0,20364.0,https://pypi.org/project/rich,9692893.0,9740492.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,1094780.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-06-21 18:22:01.000,2022-06-21 18:22:00,7454.0,97.0,1675.0,367.0,1431.0,3248.0,23057.0,2022-06-07 14:18:20,2022.6.7,30.0,421.0,43,True,pipenv,conda-forge/pipenv,,424.0,27958.0,27958.0,https://pypi.org/project/pipenv,5174994.0,5176641.0,https://anaconda.org/conda-forge/pipenv,2022-06-17 04:09:58.691,52708.0,1.0,,,,,,,,,,,,,,,,
