,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-26 17:05:28.000,2022-05-26 17:05:27,130.0,14.0,117.0,47.0,86.0,2.0,1553.0,2022-05-26 17:05:33,2022.05.26,41.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-05-26 18:07:32.000,2022-05-26 18:07:32,68.0,68.0,,1.0,19.0,,22.0,2022-05-26 18:07:40,2022.05.26,10.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-06-02 14:08:07.000,2022-06-02 13:16:59,14511.0,149.0,1998.0,194.0,4621.0,4204.0,8821.0,2022-04-23 14:36:35,7.1.2,100.0,792.0,47,True,pytest,conda-forge/pytest,['pytest'],720.0,508721.0,508721.0,https://pypi.org/project/pytest,43974628.0,44162101.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,13310584.0,1.0,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-05-31 12:09:10.000,2022-05-24 07:17:47,12386.0,541.0,819.0,83.0,1152.0,1576.0,1680.0,2022-05-18 18:31:04,62.3.2,155.0,503.0,45,True,setuptools,conda-forge/setuptools,,487.0,170179.0,170179.0,https://pypi.org/project/setuptools,188099976.0,188691217.0,https://anaconda.org/conda-forge/setuptools,2022-05-20 00:27:54.901,41978085.0,1.0,127.0,1.0,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-06-01 18:20:03.000,2022-06-01 18:20:02,1342.0,64.0,1669.0,218.0,1115.0,1630.0,27579.0,2022-03-28 19:09:55,22.3.0,23.0,322.0,44,True,black,conda-forge/black,,319.0,153250.0,153250.0,https://pypi.org/project/black,15603107.0,15685343.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,4001269.0,1.0,22560.0,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-06-01 06:58:00.000,2022-06-01 06:21:12,12985.0,214.0,2458.0,299.0,4856.0,5389.0,8019.0,,,53.0,675.0,44,True,pip,conda-forge/pip,,877.0,84005.0,84005.0,https://pypi.org/project/pip,113743293.0,114303895.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,39802772.0,1.0,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-06-01 05:16:20.000,2022-05-27 15:14:47,3196.0,354.0,1219.0,528.0,719.0,771.0,37835.0,2022-05-24 06:41:38,12.4.4,100.0,166.0,43,True,rich,conda-forge/rich,,50.0,18205.0,18205.0,https://pypi.org/project/rich,8103706.0,8146114.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,975389.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-05-30 16:37:13.000,2022-05-26 19:50:40,7439.0,132.0,1672.0,367.0,1426.0,3230.0,22993.0,2022-05-03 03:43:00,2022.5.2,29.0,418.0,43,True,pipenv,conda-forge/pipenv,,426.0,27452.0,27452.0,https://pypi.org/project/pipenv,4845457.0,4847056.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,51176.0,1.0,,,,,,,,,,,,,,,,
